New_date,Closing,RET,MA200,MA50
12/17/2020,26678.38,0.008208381,24760.0983,25713.5812
12/18/2020,26498.6,-0.006761598,24761.1329,25759.6862
12/21/2020,26306.68,-0.007269002,24761.2422,25803.4372
12/22/2020,26119.25,-0.007150309,24760.7281,25832.8286
12/23/2020,26343.1,0.008533791,24758.60425,25867.7406
12/24/2020,26386.56,0.001648408,24759.8037,25902.13
12/28/2020,26314.63,-0.002729731,24766.17455,25945.2518
12/29/2020,26568.49,0.009600869,24772.05445,25988.8858
12/30/2020,27147.11,0.021544668,24781.63195,26040.9828
12/31/2020,27231.13,0.003090209,24796.24225,26094.2146
1/4/2021,27472.81,0.008835984,24813.44175,26148.5824
1/5/2021,27649.86,0.006423876,24836.3732,26205.857
1/6/2021,27692.3,0.001533732,24858.51605,26261.3274
1/7/2021,27548.52,-0.005205583,24884.79955,26316.554
1/8/2021,27878.22,0.011896925,24915.645,26379.9424
1/11/2021,27908.22,0.00107553,24941.16075,26446.3748
1/12/2021,28276.75,0.013118643,24974.06385,26529.7614
1/13/2021,28235.6,-0.001456319,25001.9244,26605.2732
1/14/2021,28496.86,0.009210313,25026.77275,26676.4158
1/15/2021,28573.86,0.002698408,25052.88035,26750.1702
1/18/2021,28862.77,0.010060215,25079.7728,26813.5072
1/19/2021,29642.28,0.026649191,25112.10865,26892.0934
1/20/2021,29962.47,0.010743878,25143.9036,26971.0194
1/21/2021,29927.76,-0.001159121,25178.11345,27043.545
1/22/2021,29447.85,-0.016165575,25208.9524,27107.9624
1/25/2021,30159.01,0.023862815,25243.5669,27187.755
1/26/2021,29391.26,-0.025786366,25271.7776,27252.443
1/27/2021,29297.53,-0.003194139,25296.9988,27310.7602
1/28/2021,28550.77,-0.025819306,25319.9008,27353.4738
1/29/2021,28283.71,-0.009397885,25339.8177,27388.2622
2/1/2021,28892.86,0.021308485,25362.105,27438.98
2/2/2021,29248.7,0.012240622,25387.6218,27494.9232
2/3/2021,29307.46,0.002006963,25414.12685,27551.3484
2/4/2021,29113.5,-0.006640107,25437.79435,27601.8544
2/5/2021,29288.68,0.005999109,25462.58765,27654.233
2/8/2021,29319.47,0.001050707,25490.21725,27704.2334
2/9/2021,29476.19,0.005331018,25518.1314,27755.8636
2/10/2021,30038.72,0.018904397,25548.4384,27829.8082
2/11/2021,30173.57,0.00447916,25580.1496,27901.926
2/16/2021,30746.66,0.018814995,25612.4822,27986.2076
2/17/2021,31084.94,0.010942087,25645.0271,28073.3364
2/18/2021,30595.27,-0.015878036,25674.7855,28148.5234
2/19/2021,30644.73,0.001615284,25709.94015,28231.281
2/22/2021,30319.83,-0.010658752,25742.196,28311.5864
2/23/2021,30632.64,0.010264153,25774.6718,28394.1824
2/24/2021,29718.24,-0.030305108,25803.35985,28460.3354
2/25/2021,30074.17,0.011905665,25832.57985,28531.7014
2/26/2021,28980.21,-0.037053481,25854.4706,28583.5152
3/1/2021,29452.57,0.01616799,25880.50505,28648.4208
3/2/2021,29095.86,-0.012185277,25905.08285,28701.1322
3/3/2021,29880.42,0.02660752,25935.33625,28765.173
3/4/2021,29236.79,-0.021775569,25962.53285,28819.9368
3/5/2021,29098.29,-0.004748438,25988.35045,28875.769
3/8/2021,28540.83,-0.019343716,26009.11395,28924.2006
3/9/2021,28773.23,0.008109747,26030.98035,28972.8032
3/10/2021,28907.52,0.004656328,26054.1178,29023.2224
3/11/2021,29385.61,0.01640333,26086.39515,29084.642
3/12/2021,28739.72,-0.022224961,26115.33255,29128.0666
3/15/2021,28833.76,0.003266785,26142.57805,29161.7996
3/16/2021,29027.69,0.006703279,26171.2097,29197.7308
3/17/2021,29034.12,0.000221488,26200.7165,29228.957
3/18/2021,29405.72,0.012717523,26232.93775,29264.0742
3/19/2021,28990.94,-0.014205846,26259.22985,29290.047
3/22/2021,28885.34,-0.003649167,26283.67685,29316.7834
3/23/2021,28497.38,-0.013522047,26304.53565,29329.1666
3/24/2021,27918.14,-0.020535496,26322.29485,29329.365
3/25/2021,27899.61,-0.000663947,26337.94085,29321.8222
3/26/2021,28336.43,0.015535546,26355.73915,29323.8388
3/29/2021,28338.3,6.60E-05,26372.14455,29320.6676
3/30/2021,28577.5,0.008405448,26389.7834,29320.7404
3/31/2021,28378.35,-0.006993164,26409.2744,29311.052
4/1/2021,28938.74,0.019554651,26432.4612,29296.9812
4/7/2021,28674.8,-0.009162494,26456.95045,29271.2278
4/8/2021,29008.07,0.011555379,26480.27035,29252.834
4/9/2021,28698.8,-0.010718757,26501.3573,29237.853
4/12/2021,28453.28,-0.008591866,26521.299,29203.7384
4/13/2021,28497.25,0.001544147,26540.5658,29185.8582
4/14/2021,28900.83,0.014062723,26562.51325,29177.9242
4/15/2021,28793.14,-0.00373315,26581.94225,29182.7716
4/16/2021,28969.71,0.006113637,26602.8829,29196.4916
4/19/2021,29106.15,0.004698691,26625.6637,29200.7574
4/20/2021,29135.73,0.001015764,26649.83595,29198.498
4/21/2021,28621.92,-0.017792398,26670.8096,29184.7872
4/22/2021,28755.34,0.004650631,26688.96535,29177.624
4/23/2021,29078.75,0.011184178,26707.4935,29173.4254
4/26/2021,28952.83,-0.004339713,26720.56185,29166.0926
4/27/2021,28941.54,-0.000390021,26735.39125,29155.3996
4/28/2021,29071.34,0.004474876,26750.10205,29136.052
4/29/2021,29303.26,0.007945963,26765.56755,29118.6458
4/30/2021,28724.88,-0.019935126,26780.5549,29078.2102
5/3/2021,28357.54,-0.01287069,26793.482,29023.6622
5/4/2021,28557.14,0.007014036,26808.87825,28982.8996
5/5/2021,28417.98,-0.004884949,26823.56025,28938.3646
5/6/2021,28637.46,0.007693608,26841.8941,28904.7172
5/7/2021,28610.65,-0.000936625,26859.5015,28864.2774
5/10/2021,28595.66,-0.000524068,26877.18985,28841.8258
5/11/2021,28013.81,-0.020557355,26889.0806,28800.6186
5/12/2021,28231.04,0.007724479,26904.9461,28785.6352
5/13/2021,27718.67,-0.018315888,26917.22445,28750.9572
5/14/2021,28027.57,0.011082475,26933.83565,28729.5914
5/17/2021,28194.09,0.005923713,26951.7898,28695.8648
5/18/2021,28593.81,0.014077879,26970.89505,28683.0052
5/20/2021,28450.29,-0.005031907,26988.7308,28670.0452
5/21/2021,28458.44,0.000286424,27007.47005,28668.3974
5/24/2021,28412.26,-0.001624035,27026.5546,28661.178
5/25/2021,28910.86,0.017396561,27048.81825,28661.2448
5/26/2021,29166.01,0.008786687,27069.91515,28656.8528
5/27/2021,29113.2,-0.001812311,27089.96845,28664.3224
5/28/2021,29124.41,0.000384975,27110.9376,28670.1354
5/31/2021,29151.8,0.000940006,27134.0385,28672.6176
6/1/2021,29468,0.010788268,27159.49135,28681.2952
6/2/2021,29297.62,-0.005798645,27181.52605,28679.1332
6/3/2021,28966.03,-0.01138252,27200.1361,28678.635
6/4/2021,28918.1,-0.001656067,27218.57325,28679.2902
6/7/2021,28787.28,-0.004534074,27236.5946,28685.0882
6/8/2021,28781.38,-0.000204973,27253.7648,28702.353
6/9/2021,28742.63,-0.001347264,27270.64105,28719.2134
6/10/2021,28738.88,-0.000130477,27288.4409,28727.2624
6/11/2021,28842.13,0.003586256,27308.6946,28737.339
6/15/2021,28638.53,-0.007084151,27326.31805,28738.5596
6/16/2021,28436.84,-0.007067526,27340.74435,28739.7294
6/17/2021,28558.59,0.004272279,27356.1062,28732.1264
6/18/2021,28801.27,0.008461717,27372.6536,28734.6558
6/21/2021,28489,-0.010901436,27388.69285,28724.2744
6/22/2021,28309.76,-0.006311426,27403.13135,28716.4936
6/23/2021,28817.07,0.017761298,27421.33145,28723.7694
6/24/2021,28882.46,0.002266571,27439.8195,28731.4736
6/25/2021,29288.22,0.013950897,27460.66015,28739.2214
6/28/2021,29268.3,-0.000680368,27481.96365,28748.7246
6/29/2021,28994.1,-0.009412658,27503.4569,28749.2124
6/30/2021,28827.95,-0.005746958,27524.6484,28743.6484
7/2/2021,28310.42,-0.018115468,27543.0788,28727.1422
7/5/2021,28143.5,-0.005913513,27561.45165,28717.5738
7/6/2021,28072.86,-0.002513149,27580.24825,28703.9242
7/7/2021,27960.62,-0.004006182,27597.5348,28681.5616
7/8/2021,27153.13,-0.029304766,27610.09905,28645.5676
7/9/2021,27344.54,0.007024549,27623.15795,28613.6276
7/12/2021,27515.24,0.006223158,27637.106,28582.5056
7/13/2021,27963.41,0.016156837,27655.2188,28555.7086
7/14/2021,27787.46,-0.00631203,27671.87905,28536.9602
7/15/2021,27996.27,0.007486447,27692.10695,28529.7348
7/16/2021,28004.68,0.000300352,27713.5461,28518.6856
7/19/2021,27489.78,-0.01855734,27732.28245,28500.1216
